,link
14,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-to-huu-phuong-duong-noi-prj-khu-do-thi-moi-duong-noi/can-ban-nam-cuong-an-khang-an-vuong-an-quy-pr39810661
15,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-dai-mo-prj-vinhomes-green-villas/-can-goc-view-ho-320m-ck-den-16-vay-0-ls-36-thang-lh-pr39680865
16,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-le-trong-tan-phuong-duong-noi-prj-khu-do-thi-geleximco-le-trong-tan/quy-can-net-ban-update-moi-nhat-tai-geximco-ha-dong-t3-2024-pr39308186
17,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-le-trong-tan-phuong-duong-noi-prj-khu-do-thi-geleximco-le-trong-tan/ban-chinh-chu-du-an-geximco-ha-dong-lh-anh-dung-pr38311318
18,https://batdongsan.com.vn/ban-nha-rieng-duong-le-trong-tan-phuong-khuong-mai/ban-mat-ngo-134-70m-5-g-gia-15-9-ty-thanh-xuan-pr39795952
19,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-quoc-lo-32-xa-di-trach-prj-hinode-royal-park/chinh-chu-khong-qua-moi-gioi-can-ban-gap-shophouse-thinh-vuong-truc-dep-nhat-du-an-pr39794241
20,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-le-trong-tan-phuong-duong-noi-prj-khu-do-thi-geleximco-le-trong-tan/gia-dinh-can-tien-ban-can-b52-o4-kdt-geximco-100m-4-g-mat-tien-5m-13-4-ty-pr39724593
21,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-le-trong-tan-phuong-duong-noi-prj-khu-do-thi-geleximco-le-trong-tan/chinh-chu-can-ban-gap-geximco-d41-o25-so-200m-ngang-10m-4-g-22ty-pr39724795
22,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-to-huu-phuong-duong-noi-prj-an-vuong-villa/chi-1-can-duy-nhat-full-that-mat-chinh-gia-re-ngang-can-tho-pr39226981
23,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-to-huu-phuong-duong-noi-prj-solasta-mansion-duong-noi/suat-ngoai-giao-doi-ngoai-gia-sieu-re-chi-120tr-m2-chua-mua-da-lai-con-3-suat-pr39013048
24,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-to-huu-phuong-duong-noi-prj-an-vuong-villa/chu-gui-b-gap-c-bt-ho-thien-mat-doi-le-qug-dao-cong-cv-thien-v-hoc-pr39790125
25,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-duong-noi-prj-an-quy-villa-kdt-duong-noi/chinh-chu-can-tien-gap-ban-gap-ban-cat-lo-7ty-can-bt-lo-goc-3mat-tien-dt-dat-243m-dtxd-507m-pr39789203
26,https://batdongsan.com.vn/ban-nha-rieng-duong-vong-thi-phuong-thuy-khue/chinh-chu-gui-ban-29-36m-6-tang-6-4-ty-tay-ho-pr39789089
27,https://batdongsan.com.vn/ban-nha-rieng-duong-ton-that-tung-phuong-khuong-thuong/chinh-chu-ban-ngo-1-ngay-trung-tam-dong-da-o-to-do-cua-pr39787598
28,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-cong-hoan-phuong-cong-vi/-60m2-5-tang-1-1-ngo-kinh-doanh-dinh-dan-tri-cao-26-5ty-pr39782607
29,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-le-trong-tan-phuong-duong-noi-prj-khu-do-thi-geleximco-le-trong-tan/tong-hop-cac-can-vip-da-co-so-chinh-chu-oc-c-geximco-ha-ng-pr38850463
30,https://batdongsan.com.vn/ban-nha-rieng-duong-cau-giay-phuong-quan-hoa/ban-ccmn-pho-60m-6-tang-11-phong-khep-kin-gia-9-95-ty-pr39699754
31,https://batdongsan.com.vn/ban-nha-rieng-duong-bo-de-phuong-bo-de/ban-long-bien-85x8-tang-thang-may-tang-noi-that-cao-cap-view-ho-vua-o-kinh-doanh-pr39775464
32,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nghiem-xuan-yem-phuong-dai-kim-prj-the-manor-central-park/ban-shophouse-gia-tot-nhat-thi-truong-0938308867-pr35979289
33,https://batdongsan.com.vn/ban-nha-rieng-duong-ong-ich-khiem-phuong-dien-bien/chinh-chu-ban-gap-dep-sieu-hiem-khu-vuc-vip-t-ba-dinh-54m2-x-4-tang-15-9-ty-pr39773397
34,https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-tan-mai-phuong-hoang-van-thu-4-prj-louis-city-hoang-mai/chuyen-huong-dau-tu-can-ban-2-can-mat-22-5m-va-mat-17m-tai-du-an-city-pr39746125
35,https://batdongsan.com.vn/ban-nha-rieng-pho-ton-duc-thang-phuong-hang-bot-1/chinh-chu-ban-so-9-53-cam-van-dong-da-hn-4-tang-pr39276948
36,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-xien-phuong-dai-kim-prj-the-manor-central-park/can-ban-lo-shophouse-75m-99m-cung-lo-shophouse-goc-190m-vi-tri-dep-gia-re-nhat-du-an-0941529969-pr37679105
37,https://batdongsan.com.vn/ban-nha-rieng-pho-dich-vong-hau-phuong-dich-vong-hau/toa-ccmn-dong-tien-tot-mat-ngo-thong-cau-giay-cach-mat-chi-40m-1-ty-nam-pr39783452
38,https://batdongsan.com.vn/ban-nha-rieng-pho-tran-quoc-hoan-phuong-dich-vong-hau/ban-6-tang-thang-may-ngo-89-duong-nguyen-phong-sac-doi-dien-lang-te-thang-long-pr39434048
39,https://batdongsan.com.vn/ban-nha-rieng-pho-hao-nam-phuong-o-cho-dua/chinh-chu-can-ban-toa-5-tang-so-14-ngo-126-cach-mat-chi-100-buoc-chan-pr39838091
40,https://batdongsan.com.vn/ban-nha-rieng-duong-tinh-lo-420-xa-tan-xa/ban-dat-g-tro-4-g-full-tho-cu-2-mat-tien-tai-em-dung-pr38033293
41,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-lang-hoa-lac-xa-an-khanh-4-prj-khu-do-thi-nam-an-khanh/bg-hg-shophouse-khh-t6-2023-gia-day-dau-tu-lam-viec-truc-tiep-voi-chu-nha-pr37503131
42,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-lac-long-quan-phuong-phu-thuong-1-prj-khu-do-thi-nam-thang-long-ciputra/tong-hop-cac-can-gia-tot-ban-ta-ha-noi-hien-nay-lh-mr-hieu-pr39743775
43,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-vo-chi-cong-phuong-xuan-la-prj-kdt-tay-ho-tay-starlake-ha-noi/quy-can-moi-nhat-shophouse-khu-do-thi-vi-tri-dep-gia-tot-nhat-thi-truong-pr38988462
44,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-ngoc-trai-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/-dinh-can-ban-don-lap-chi-30-x-ty-pr39793474
45,https://batdongsan.com.vn/ban-nha-mat-pho-duong-dai-an-phuong-van-quan/chinh-chu-b-67-8m2-mt-4-8m-tai-so-56-v-qu-ha-dong-ha-noi-pr39836167
46,https://batdongsan.com.vn/ban-nha-rieng-phuong-dich-vong/chinh-chu-ban-cau-giay-ngo-rong-oto-tranh-khu-vuc-sam-uat-110m2-3-tang-so-do-san-pr39836082
47,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-70-2-phuong-dai-mo-prj-louis-city/a-sep-ban-200m2-cong-vien-ho-ca-koi-sau-hang-hiem-o-phia-tay-cach-my-dinh-2-5km-vip-a-pr39320313
48,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-van-canh-1-prj-an-lac-green-symphony/chuyen-sau-shopvillas-mat-tien-sieu-rong-16-5m-ho-ca-koi-phong-chieu-phim-bar-pr38896057
49,https://batdongsan.com.vn/ban-nha-rieng-duong-lac-long-quan-phuong-xuan-la/chinh-chu-ban-gap-dat-68m2-ngo-445-quan-pr39835710
50,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-duong-noi-prj-an-phu-shop-villa/cc-b-gap-c-bt-dep-nhat-khu-kdt-ha-dong-dt246m2-4t-mt11m-full-nt-pr39835285
51,https://batdongsan.com.vn/ban-nha-rieng-duong-duc-giang-phuong-thuong-thanh-1/ban-dat-o-28-ngach-47-ngo-99-giang-pr32095858
52,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-lac-long-quan-phuong-phu-thuong-1-prj-khu-do-thi-nam-thang-long-ciputra/can-ban-nhanh-day-doi-300-trieu-1-m2-he-ms-pr39834837
53,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-le-trong-tan-phuong-duong-noi-prj-khu-do-thi-geleximco-le-trong-tan/lk-100m2-gia-13-3-ty-nv-120m2-gia-nhinh-15-ty-vi-tri-dep-khong-loi-tai-geximco-tan-pr39808695
54,https://batdongsan.com.vn/ban-nha-rieng-pho-quan-nhan-phuong-nhan-chinh/toa-chung-cu-mini-6-tang-thang-may-thanh-xuan-10-ng-full-do-co-gac-xep-pr39809697
55,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-70-2-phuong-dai-mo-prj-louis-city/phong-ban-hang-du-an-gia-tot-nhat-thi-truong-thang-4-2024-pr39566968
56,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-quoc-lo-32-xa-di-trach-prj-hinode-royal-park/bang-hang-gia-re-nhat-tai-du-an-chi-4x-trieu-m2-can-5-tang-anh-quoc-pr38158222
57,https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-tran-phu-thi-tran-thuong-tin-prj-him-lam-thuong-tin/-hang-hottt-5-can-dac-biet-mat-tien-lon-san-so-pr39090495
58,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-le-trong-tan-xa-an-khanh-4-prj-khu-biet-thu-thien-duong-bao-son/ban-nhanh-goc-duy-nhat-do-thi-gia-ban-nhanh-chi-con-nhinh-24-ty-pr39832179
59,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nghiem-xuan-yem-phuong-dai-kim-prj-the-manor-central-park/ban-can-goc-99m2-pho-shophouse-du-an-gia-3x-ty-pr39832134
60,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-quoc-lo-32-xa-di-trach-prj-hinode-royal-park/chinh-chu-can-ban-nhanh-shophouse-135m2-khu-thinh-vuong-du-an-gia-re-pr39811088
61,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-xuan-la-prj-kdt-tay-ho-tay-starlake-ha-noi/quy-can-don-lap-song-lap-shop-hous-starla-can-chuyen-nhuong-thang-5-2024-pr39782696
62,https://batdongsan.com.vn/ban-nha-rieng-duong-ngoc-thuy-phuong-ngoc-thuy/ban-can-mat-ngo-kd-o-to-tranh-6m-vi-tri-dep-45m-x-5-gia-6-58-ty-pr39831643
63,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-le-trong-tan-phuong-phu-la-prj-khu-do-thi-moi-van-phu/-lo-goc-sieu-vip-kd-cuc-pham-225m-mt-29m-kdt-ngay-nga-tu-gia-47-ty-pr39772261
64,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/tong-hop-quy-can-chuyen-nhuong-moi-nhat-1-lh-pr39817724
65,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-xuan-la-prj-kdt-tay-ho-tay-starlake-ha-noi/chi-gai-toi-can-h7-tt2-dt-220m2-mt-10m-3-mat-tang-it-nguoi-ban-pr39760525
66,https://batdongsan.com.vn/ban-nha-rieng-duong-khuong-dinh-phuong-khuong-dinh/-dep-trung-tam-nga-tu-so-thiet-ke-cuc-dep-thoang-o-cho-thang-may-20-ra-oto-tranh-ngo-nong-pr39831401
67,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-quoc-lo-32-xa-di-trach-prj-hinode-royal-park/chinh-chu-can-ban-95m2-vi-tri-dep-bac-nhat-du-an-du-an-hidone-gia-dau-tu-pr39831179
68,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-me-tri-prj-khu-do-thi-me-tri-thuong/-ong-105-6m2-mat-tien-8-8m-no-hau-285m2-san-100m-ra-dl-thang-long-gia-18-9-ty-pr39830074
69,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-phu-luong-3-prj-khu-do-thi-moi-phu-luong/can-ban-gap-dtm-van-ha-dong-pr39829689
70,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-le-trong-tan-xa-an-khanh-4-prj-khu-a-geleximco-le-trong-tan/chinh-chu-ban-can-lk-100m2-mat-tien-5m-khong-loi-gia-9-8-ty-ca-lh-pr38979623
71,https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-5a-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/ban-gap-lien-ke-shophuoes-re-nhat-thi-truong-ha02-mat-30m-hoan-thien-5-tang-chi-20-5-ty-pr39827931
72,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-tan-mai-phuong-hoang-van-thu-4-prj-louis-city-hoang-mai/chu-can-tien-ban-gap-gia-170-tr-m2-pr39827543
73,https://batdongsan.com.vn/ban-nha-rieng-pho-hao-nam-phuong-o-cho-dua/chinh-chu-can-tien-ban-gap-can-4-tang-ng-126-ng-t-nng-t-cach-50m-gan-ga-cat-linh-pr39738122
74,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-le-trong-tan-phuong-duong-noi-prj-khu-do-thi-geleximco-le-trong-tan/ban-cat-lo-3-can-100m-gia-13-ty-120m-gia-15-ty-114m-gia-16-ty-pr39827375
75,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-anh-dao-phuong-phuc-loi-prj-vinhomes-riverside/tong-hop-quy-chuyen-nhuong-the-harmony-thang-5-2024-lh-pr39755225
76,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/ban-song-lap-san-ho-150m2-gan-ho-gan-cong-vien-vinhome-1-lam-pr39753295
77,https://batdongsan.com.vn/ban-nha-rieng-duong-yen-lang-phuong-thinh-quang/ban-dong-da-dt-60m2-x-7-tang-x-mt-10m-full-nt-gara-o-to-lo-goc-thang-may-pr39036395
78,https://batdongsan.com.vn/ban-nha-rieng-xa-dai-thanh-4/ban-3-tang-dien-tich-sd-126m-gia-2-050-ti-giao-ngay-pr39662225
79,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-lang-hoa-lac-xa-an-khanh-4-prj-khu-do-thi-nam-an-khanh/b-shophouse-hau-c-goc-3-mat-tien-vita-lego-khh-212m2-gia-16xt-m2-lh-pr39823226
80,https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-xa-van-canh-1-prj-an-lac-green-symphony/vi-tri-dac-dia-gia-chu-dau-tu-chi-170tr-m2-pr39822392
81,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-van-huyen-phuong-xuan-la-prj-kdt-tay-ho-tay-starlake-ha-noi/quy-can-shophouse-khu-do-thi-can-ban-gap-vi-tri-dep-gia-tot-nhat-thi-truong-pr39313399
82,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-to-huu-phuong-duong-noi-prj-khu-do-thi-moi-duong-noi/ban-bt-an-phu-an-vuong-an-khang-villa-kinh-doanh-lon-gia-cam-ket-re-nhat-kdt-hd-pr39821331
83,https://batdongsan.com.vn/ban-nha-mat-pho-duong-hoang-van-thai-phuong-khuong-trung/-su-lua-chon-sang-suot-pr39821200
84,https://batdongsan.com.vn/ban-nha-rieng-pho-ly-thuong-kiet-phuong-tran-hung-dao/chinh-chu-can-ban-gap-can-3-5-tang-ngo-quan-hoan-kiem-o-to-do-tan-cua-pr39690072
85,https://batdongsan.com.vn/ban-nha-rieng-duong-thinh-quang-phuong-thinh-quang/sieu-pham-ban-cach-ngo-chi-50m-pr39748331
86,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-sao-bien-23-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/ban-nhanh-song-lap-gan-ho-19-5-ty-pr39626319
87,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-thanh-lam-3-prj-hud-me-linh-central/quy-can-chuyen-nhuong-gia-tot-vi-tri-dep-nhat-du-an-gia-tu-11-5-ty-pr39819462
88,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/hot-5-can-song-lap-san-ho-can-dt-120m2-150m2-can-re-nhat-19-5-ty-31-ty-he-pr39801243
89,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-xien-phuong-dai-kim-prj-the-manor-central-park/ban-cat-lo-can-lk-99m2-va-shophouse-75m2-giam-sau-so-thi-truong-gia-20-ty-pr37682289
90,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-vanh-dai-3-5-xa-van-canh-1-prj-an-lac-green-symphony/hang-dau-tu-quy-can-126m-135m-177m-201m-280m2-vi-tri-dep-view-song-gia-dau-tu-pr39460260
91,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/-don-lap-ngoc-trai-288m2-canh-cong-vien-song-51-ty-lam-pr39153149
92,https://batdongsan.com.vn/ban-nha-rieng-pho-thai-thinh-phuong-thinh-quang/cuc-gap-thong-vinh-ho-dong-da-ngo-rong-thoang-cach-o-to-10m-dep-o-luon-pr39250524
93,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-to-huu-phuong-la-khe-prj-an-khang-villa/b-c-goc-m04-11-khg-villas-view-ho-cong-vien-18ha-nam-cuong-sieu-hot-0914102166-pr35464584
94,https://batdongsan.com.vn/ban-nha-mat-pho-duong-vo-van-kiet-thi-tran-quang-minh/cc-ban-toa-me-linh-355-6m2-dang-kinh-doanh-tot-so-do-full-dat-do-thi-pr39813780
95,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/ban-gap-4-can-shop-sh16-dap-thong-ngay-vong-xuyen-mat-52m-pack-lam-pr39815386
96,https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-hoa-tham-phuong-giang-vo/chinh-chu-can-ban-gap-di-dinh-cu-nuoc-ngoai-mat-ngo-rong-cach-pho-15m-pr39718266
97,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-le-trong-tan-phuong-duong-noi-prj-khu-do-thi-geleximco-le-trong-tan/chinh-chu-ban-dt-100m2-5x20-gia-8-85-ty-gom-va-dat-pr38137432
98,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-le-trong-tan-phuong-la-khe-prj-parkcity-ha-noi/can-ban-gap-voi-gia-cuc-tot-pr35991254
99,https://batdongsan.com.vn/ban-nha-rieng-duong-bui-xuong-trach-phuong-khuong-dinh/chinh-chu-ban-ngo-207-pho-quan-thanh-xuan-ha-noi-pr39813396
100,https://batdongsan.com.vn/ban-nha-mat-pho-duong-ngo-gia-tu-phuong-quang-trung-17/chinh-chu-ha-chao-ban-16-p-ha-dong-ha-noi-pr39810164
101,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-thanh-lam-3-prj-hud-me-linh-central/ban-quy-can-cuoi-cung-300-m2-gia-11-4-ty-dep-nhat-thi-truong-ho-tro-lai-suat-0-pr38657225
102,https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-pham-hung-phuong-trung-hoa-4-prj-khu-do-thi-nam-trung-yen/chinh-chu-can-ban-toa-van-phong-dau-gia-100m2-xay-08-tang-pr39812294
103,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-to-huu-phuong-la-khe-prj-an-khang-villa/chinh-chu-b-gap-khg-khu-do-thi-moi-nam-cuong-noi-ha-dong-pr38850585
104,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-le-trong-tan-phuong-phu-la-prj-khu-do-thi-moi-van-phu/ban-gap-can-ha-ng-tel-pr38850622
105,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-duong-noi-prj-an-quy-villa-kdt-duong-noi/-ngoai-giao-gia-re-nam-cuong-huong-ck-7-vay-50-h-toi-24-thg-pr39287830
106,https://batdongsan.com.vn/ban-nha-rieng-duong-phu-my-phuong-my-dinh-2/ban-toa-ccmn-ngon-dau-tu-dong-tien-79m2-19-phong-nhinh-18-ty-pr39810987
107,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/ban-nhanh-song-lap-150m2-hai-au-hoan-thien-dep-dong-nam-cam-ket-re-nhat-23-5-ty-bp-vhop1-pr39767281
108,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-lac-long-quan-phuong-phu-thuong-1-prj-khu-do-thi-nam-thang-long-ciputra/quy-can-du-an-kita-capital-hang-ngoai-giao-chiet-khau-cao-gia-tot-nhat-pr39451814
109,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-phu-thuong-1-prj-kita-capital-crown-ciputra/ban-tay-ho-co-ham-view-cong-vien-san-so-do-n-ngay-gia-tot-t-pr39808686
110,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-van-canh-1-prj-an-lac-green-symphony/b-gap-sieu-dep-dep-nhat-du-chuyen-nhuong-gia-dau-tu-pr38724494
111,https://batdongsan.com.vn/ban-nha-rieng-pho-mai-dich-phuong-mai-dich/cc-ban-mat-tien-sieu-rong-14m-ngo-cau-giay-88m2-dttt-104m2-lo-goc-gia-21-8-ty-pr39808304
112,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-dai-lo-thang-long-phuong-me-tri-prj-vinhomes-green-bay-me-tri/ban-nhanh-bt-vin-can-goc-dien-tich-gan-300m-tang-full-noi-that-uu-tien-khach-thien-chi-pr39376403
113,https://batdongsan.com.vn/ban-nha-rieng-pho-lang-ha-phuong-lang-ha/ban-gap-o-to-do-cong-i-mat-ngo-dan-xay-duoc-may-nam-con-nhu-moi-so-do-dep-pr39528473
114,https://batdongsan.com.vn/ban-nha-mat-pho-phuong-minh-khai_1/ban-bac-tu-liem-ha-noi-thich-hop-lam-tru-so-van-phong-kinh-doanh-pr39806813
115,https://batdongsan.com.vn/ban-nha-mat-pho-duong-hoang-cong-chat-phuong-phu-dien/ban-can-hai-tich-230m2-gia-48-ty-pr39806682
116,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-dai-lo-thang-long-phuong-me-tri-prj-vinhomes-green-bay-me-tri/ban-gap-can-dien-tich-100m-pr39768372
117,https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/ban-de-chung-cu-mat-sanh-pr39717169
118,https://batdongsan.com.vn/ban-nha-rieng-duong-cau-to-xa-ta-thanh-oai/ban-35-40m-gia-2-55ty-xay-moi-4-5-ng-tk-ng-lung-lam-phong-khach-pr39802185
119,https://batdongsan.com.vn/ban-nha-rieng-duong-cau-giay-phuong-dich-vong/chinh-chu-ban-7-tang-thang-may-khu-phan-lo-co-via-he-ngo-165-hai-thoang-o-to-tranh-pr39802165
120,https://batdongsan.com.vn/ban-nha-rieng-pho-chua-lang-phuong-lang-thuong/ban-mat-ngo-136-54m-4-tang-mat-tien-4-8m-kinh-doanh-ngay-dem-gia-chi-12-8-ty-pr39503319
121,https://batdongsan.com.vn/ban-nha-rieng-pho-trung-kinh-phuong-trung-hoa-4/sieu-pham-o-to-tranh-thoang-truoc-sau-doanh-sat-san-choi-cuc-lon-pr39801993
122,https://batdongsan.com.vn/ban-nha-rieng-duong-yen-hoa-phuong-yen-hoa-2/ccmn-10m-ra-mat-pho-80m2-tong-16-phong-gia-15-5-ty-pho-bang-cau-giay-o-to-do-cua-pr39801963
123,https://batdongsan.com.vn/ban-nha-rieng-duong-giang-van-minh-phuong-kim-ma/chiinh-chu-can-ban-gap-pho-31-m-5-tang-noi-that-dep-pr39800226
124,https://batdongsan.com.vn/ban-nha-rieng-xa-hong-ky-1/can-ban-dat-qh-thi-tran-ni-soc-son-ha-noi-pr39831772?source=ad&adid=2421848
